序号,名称,代码,最新价,涨跌幅%,成交额(元),换手率%,所属板块,上涨驱动逻辑
1,美迪西,688202,95.1,16.26,1205239814.0,10.04,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
2,腾景科技,688195,150.14,16.14,2011305989.0,7.96,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
3,国科微,300672,168.48,14.82,2998757993.0,8.75,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
4,康龙化成,300759,45.28,14.34,4576534402.0,7.43,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
5,胜宏科技,300476,280.2,12.01,19750660787.0,8.39,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
6,光迅科技,002281,193.04,10.0,13289069179.0,8.9,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
7,颀中科技,688352,17.38,9.51,587967564.0,9.34,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
8,泰格医药,300347,54.35,9.51,1729326074.0,5.83,全市场热门,医药生物：创新药出海加速+CXO订单回暖，估值修复行情
9,药明康德,603259,154.82,8.49,13955602029.0,3.75,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
10,兆易创新,603986,417.05,8.32,30521288583.0,11.18,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
11,深南电路,002916,382.63,8.09,5258624612.0,2.1,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
12,富信科技,688662,90.5,8.0,1524026799.0,15.12,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
13,康希诺,688185,54.27,7.83,219653574.99999997,3.65,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
14,精测电子,300567,223.91,7.65,2400974471.0,4.86,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
15,仕佳光子,688313,127.7,7.54,4271908476.0,7.61,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
16,沪电股份,002463,125.87,7.4,9895212117.0,4.15,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
17,阳光电源,300274,114.16,6.99,11286612760.999998,6.44,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
18,聚辰股份,688123,128.72,6.95,1573779782.0000002,7.91,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
19,晶丰明源,688368,125.87,6.94,615223396.0,4.03,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
20,通威股份,600438,13.08,6.26,1979419459.0,3.38,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
21,通富微电,002156,64.72,6.17,10218718160.0,10.72,半导体,主力资金介入，量价配合，关注板块联动和持续性
22,芯原股份,688521,230.5,6.14,4552012582.0,3.87,半导体,主力资金介入，量价配合，关注板块联动和持续性
23,博实股份,002698,13.68,5.88,875277274.0,7.52,机器人,主力资金介入，量价配合，关注板块联动和持续性
24,德科立,688205,141.41,5.77,1454326891.0,6.6,光模块,主力资金介入，量价配合，关注板块联动和持续性
25,英维克,002837,55.9,5.61,2897386040.0,4.66,光模块,主力资金介入，量价配合，关注板块联动和持续性
26,佰维存储,688525,244.88,5.13,10693233873.999998,9.4,半导体,半导体产业链：国产替代+AI芯片双轮驱动，关注设备/材料国产化率提升
27,圣邦股份,300661,111.68,5.12,1453945675.0,2.19,半导体,主力资金介入，量价配合，关注板块联动和持续性
28,盛弘股份,300693,38.21,5.09,670458736.0000001,6.64,新能源,主力资金介入，量价配合，关注板块联动和持续性
29,三安光电,600703,14.4,5.03,4193820743.0,5.86,半导体,主力资金介入，量价配合，关注板块联动和持续性
30,华润微,688396,61.21,4.69,1625824852.0,2.03,半导体,跟随市场节奏，需观察量能确认趋势
31,凌云光,688400,49.06,4.65,775062459.0,3.51,机器人,跟随市场节奏，需观察量能确认趋势
32,安路科技,688107,32.6,4.55,275612943.0,2.15,半导体,跟随市场节奏，需观察量能确认趋势
33,光库科技,300620,288.08,4.5,5679621193.0,7.99,光模块,跟随市场节奏，需观察量能确认趋势
34,华天科技,002185,17.98,4.17,7709555878.0,13.09,半导体,跟随市场节奏，需观察量能确认趋势
35,太辰光,300570,143.43,4.03,3766686182.9999995,13.94,光模块,跟随市场节奏，需观察量能确认趋势
36,高澜股份,300499,29.1,3.89,701798851.0,9.01,光模块,跟随市场节奏，需观察量能确认趋势
37,绿的谐波,688017,347.76,3.49,4012341462.0,6.41,机器人,跟随市场节奏，需观察量能确认趋势
38,奥普特,688686,120.0,3.47,206963184.0,1.43,机器人,跟随市场节奏，需观察量能确认趋势
39,赛腾股份,603283,44.41,3.33,978898457.0,6.32,机器人,跟随市场节奏，需观察量能确认趋势
40,固德威,688390,68.3,3.0,689567451.0,4.22,新能源,跟随市场节奏，需观察量能确认趋势
41,晶盛机电,300316,41.8,2.58,610204043.0,1.19,新能源,跟随市场节奏，需观察量能确认趋势
42,埃夫特-U,688165,17.99,2.57,168662098.0,1.83,机器人,跟随市场节奏，需观察量能确认趋势
43,江苏北人,688218,39.48,2.09,145049939.0,3.19,机器人,跟随市场节奏，需观察量能确认趋势
44,汇川技术,300124,64.6,1.91,1972883304.0,1.27,机器人,跟随市场节奏，需观察量能确认趋势
45,拓斯达,300607,33.41,1.74,1015508016.0000001,9.14,机器人,跟随市场节奏，需观察量能确认趋势
46,锦浪科技,300763,62.75,1.69,706950163.9999999,3.54,新能源,跟随市场节奏，需观察量能确认趋势
47,亿纬锂能,300014,54.94,1.5,2448566321.0,2.13,新能源,跟随市场节奏，需观察量能确认趋势
48,隆基绿能,601012,12.93,1.49,1911237685.0,1.95,新能源,跟随市场节奏，需观察量能确认趋势
49,东方日升,300118,10.29,1.48,382340309.0,4.05,新能源,跟随市场节奏，需观察量能确认趋势
50,迈为股份,300751,171.77,1.41,1083619186.0,3.3,新能源,跟随市场节奏，需观察量能确认趋势
