序号,名称,代码,最新价,涨跌幅%,成交额(元),换手率%,所属板块,上涨驱动逻辑
1,菲菱科思,301191,115.72,12.48,1644183630.0000002,19.75,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
2,全志科技,300458,41.71,11.14,6467213584.0,19.64,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
3,通富微电,002156,74.9,8.08,18636008851.0,16.34,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
4,绿盟科技,300369,6.91,6.47,703876920.0,13.06,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
5,美迪西,688202,85.16,6.01,1026449170.0,8.89,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
6,阳光电源,300274,109.95,5.64,9331922099.0,5.34,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
7,启明星辰,002439,14.33,5.37,980976453.9999999,9.72,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
8,隆基绿能,601012,12.57,5.36,3111244121.0,3.3,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
9,奇安信-U,688561,26.79,4.44,428548192.0,2.41,全市场热门,跟随市场节奏，需观察量能确认趋势
10,雅克科技,002409,149.86,4.4,7491910158.000001,15.45,全市场热门,跟随市场节奏，需观察量能确认趋势
11,新洁能,605111,56.1,4.18,2099769892.0,8.78,全市场热门,跟随市场节奏，需观察量能确认趋势
12,腾景科技,688195,126.01,3.97,1426968356.0,6.14,全市场热门,跟随市场节奏，需观察量能确认趋势
13,恒玄科技,688608,132.0,3.9,1568345804.0,5.11,全市场热门,跟随市场节奏，需观察量能确认趋势
14,格科微,688728,17.55,3.85,1995178265.0,4.46,全市场热门,跟随市场节奏，需观察量能确认趋势
15,通威股份,600438,11.09,3.45,765996092.0000001,1.55,全市场热门,跟随市场节奏，需观察量能确认趋势
16,晶盛机电,300316,39.76,3.25,1190204081.0,2.44,全市场热门,跟随市场节奏，需观察量能确认趋势
17,飞荣达,300602,37.78,2.97,1138609077.0,7.54,全市场热门,跟随市场节奏，需观察量能确认趋势
18,光迅科技,002281,191.9,2.62,12355710620.0,8.06,全市场热门,跟随市场节奏，需观察量能确认趋势
19,晶澳科技,002459,7.29,2.53,402610649.0,1.68,全市场热门,跟随市场节奏，需观察量能确认趋势
20,君实生物-U,688180,37.39,2.07,623948097.0,2.16,全市场热门,医药生物：创新药出海加速+CXO订单回暖，估值修复行情
21,雷赛智能,002979,57.7,2.02,978734507.0,7.77,机器人,跟随市场节奏，需观察量能确认趋势
22,唯捷创芯,688153,25.46,1.84,205393434.00000003,1.94,半导体,跟随市场节奏，需观察量能确认趋势
23,高澜股份,300499,28.17,1.59,833639076.0,10.8,光模块,跟随市场节奏，需观察量能确认趋势
24,特变电工,600089,19.78,1.44,2463765714.0,2.47,新能源,跟随市场节奏，需观察量能确认趋势
