序号,名称,代码,最新价,涨跌幅%,成交额(元),换手率%,所属板块,上涨驱动逻辑
1,太辰光,300570,193.8,20.0,4508005583.0,12.7,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
2,电连技术,300679,51.17,20.0,1774712441.9999998,10.36,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
3,天准科技,688003,94.8,20.0,1100106409.0,6.27,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
4,仕佳光子,688313,160.0,13.67,4455993813.0,6.38,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
5,国科微,300672,196.0,12.57,3417668293.0,8.86,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
6,长芯博创,300548,219.0,12.5,4489659087.0,7.22,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
7,维宏股份,300508,51.28,11.0,308906681.0,7.64,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
8,通富微电,002156,69.26,10.01,9941401425.0,9.73,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
9,富信科技,688662,107.91,9.66,2093815303.0000002,17.67,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
10,芯原股份,688521,226.3,9.18,4757547954.0,4.11,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
11,飞荣达,300602,41.9,8.27,1154340317.0,7.12,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
12,新洁能,605111,62.95,8.09,1261559700.0,5.0,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
13,精测电子,300567,240.5,7.64,1953897012.0,3.67,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
14,奥普特,688686,124.99,7.63,183428163.0,1.23,机器人,主力资金介入，量价配合，关注板块联动和持续性
15,捷捷微电,300623,28.78,7.11,926461431.0,4.31,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
16,天孚通信,300394,286.56,7.04,17899142474.0,5.8,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
17,长川科技,300604,302.57,6.9,6196593866.0,4.27,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
18,颀中科技,688352,20.03,6.37,705465228.0000001,9.77,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
19,兆易创新,603986,444.0,6.35,25709784052.0,8.81,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
20,中际旭创,300308,1001.03,6.15,35274048365.0,3.27,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
21,佰维存储,688525,256.78,6.11,9016648777.0,7.57,全市场热门,半导体产业链：国产替代+AI芯片双轮驱动，关注设备/材料国产化率提升
22,格科微,688728,17.15,6.0,767172480.0000001,1.77,半导体,主力资金介入，量价配合，关注板块联动和持续性
23,汉宇集团,300403,10.04,5.8,214813911.99999997,4.95,机器人,主力资金介入，量价配合，关注板块联动和持续性
24,寒武纪,688256,1156.0,5.76,15838555864.0,2.23,半导体,主力资金介入，量价配合，关注板块联动和持续性
25,华天科技,002185,19.0,5.67,7321939828.999999,11.8,半导体,主力资金介入，量价配合，关注板块联动和持续性
26,安路科技,688107,33.64,5.59,280005436.0,2.12,半导体,主力资金介入，量价配合，关注板块联动和持续性
27,思瑞浦,688536,289.52,5.47,1161295586.0,3.02,半导体,主力资金介入，量价配合，关注板块联动和持续性
28,全志科技,300458,35.8,5.45,2190651192.0,7.78,半导体,主力资金介入，量价配合，关注板块联动和持续性
29,拓斯达,300607,37.53,5.13,1825606602.0000002,14.86,机器人,主力资金介入，量价配合，关注板块联动和持续性
30,江苏北人,688218,45.95,5.12,163599662.0,3.07,机器人,主力资金介入，量价配合，关注板块联动和持续性
31,源杰科技,688498,1595.01,5.0,6152453538.0,3.2,光模块,主力资金介入，量价配合，关注板块联动和持续性
32,迈为股份,300751,187.06,4.86,1402654304.0000002,3.93,新能源,跟随市场节奏，需观察量能确认趋势
33,固德威,688390,70.49,4.8,634107147.0,3.77,新能源,跟随市场节奏，需观察量能确认趋势
34,埃斯顿,002747,36.4,4.75,2355092509.0,8.48,机器人,跟随市场节奏，需观察量能确认趋势
35,光迅科技,002281,199.75,4.3,8399276371.000001,5.42,光模块,跟随市场节奏，需观察量能确认趋势
36,晶盛机电,300316,45.36,4.3,579707653.0,1.05,新能源,跟随市场节奏，需观察量能确认趋势
37,菲菱科思,301191,101.5,4.26,683356465.9999999,9.34,光模块,跟随市场节奏，需观察量能确认趋势
38,绿的谐波,688017,362.17,3.5,3235066186.0,4.97,机器人,跟随市场节奏，需观察量能确认趋势
39,锦浪科技,300763,65.57,3.44,908303074.0,4.39,新能源,跟随市场节奏，需观察量能确认趋势
40,禾川科技,688320,36.24,3.28,144458633.0,2.7,机器人,跟随市场节奏，需观察量能确认趋势
41,TCL中环,002129,9.63,3.1,1368939614.0,3.52,新能源,跟随市场节奏，需观察量能确认趋势
42,天奈科技,688116,33.5,2.92,202251585.0,1.67,新能源,跟随市场节奏，需观察量能确认趋势
43,五矿新能,688779,8.07,2.54,238793623.0,1.55,新能源,新能源：光伏装机超预期+锂电排产回暖，关注新技术路线(固态/钠电)
44,捷佳伟创,300724,60.06,2.49,480688457.0,2.8,新能源,跟随市场节奏，需观察量能确认趋势
45,东方日升,300118,10.46,2.25,298864798.0,3.11,新能源,跟随市场节奏，需观察量能确认趋势
46,晶科能源,688223,4.49,2.05,359726705.0,0.78,新能源,跟随市场节奏，需观察量能确认趋势
