序号,名称,代码,最新价,涨跌幅%,成交额(元),换手率%,所属板块,上涨驱动逻辑
1,绿盟科技,300369,9.47,13.69,1084786078.0,14.72,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
2,富信科技,688662,107.9,12.51,1654787758.0,13.62,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
3,德科立,688205,243.12,10.58,3524662434.0,9.54,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
4,胜宏科技,300476,248.0,9.23,14797693670.0,7.18,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
5,国科微,300672,201.0,8.36,3264619646.0,7.72,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
6,中孚信息,300659,11.08,6.95,244164145.0,12.24,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
7,康泰生物,300601,12.99,6.91,516510525.0,4.49,全市场热门,医药生物：创新药出海加速+CXO订单回暖，估值修复行情
8,聚辰股份,688123,156.0,6.85,1737871279.0,7.08,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
9,禾川科技,688320,35.83,6.64,206526779.0,3.83,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
10,康希诺,688185,72.46,6.48,800533324.0,9.86,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
11,药明康德,603259,167.96,4.97,8522477046.000001,2.07,全市场热门,跟随市场节奏，需观察量能确认趋势
12,君实生物-U,688180,34.97,4.92,634166103.0,2.39,全市场热门,医药生物：创新药出海加速+CXO订单回暖，估值修复行情
13,恒瑞医药,600276,46.04,4.85,5186778255.0,1.79,全市场热门,医药生物：创新药出海加速+CXO订单回暖，估值修复行情
14,复星医药,600196,23.05,4.63,794959252.0,1.65,全市场热门,医药生物：创新药出海加速+CXO订单回暖，估值修复行情
15,华昌达,300278,3.68,4.55,107812775.0,2.1,机器人,跟随市场节奏，需观察量能确认趋势
16,康龙化成,300759,45.13,4.23,3260908143.0000005,5.09,全市场热门,跟随市场节奏，需观察量能确认趋势
17,奇安信-U,688561,28.94,4.18,371309107.0,1.89,全市场热门,跟随市场节奏，需观察量能确认趋势
18,蓝思科技,300433,34.83,4.03,3717997000.0,2.18,全市场热门,跟随市场节奏，需观察量能确认趋势
19,开普云,688228,82.84,3.68,122623244.0,2.22,光模块,跟随市场节奏，需观察量能确认趋势
20,卓胜微,300782,76.34,3.53,1175017022.0,3.32,全市场热门,跟随市场节奏，需观察量能确认趋势
21,美迪西,688202,109.85,3.44,774830807.0,5.22,全市场热门,跟随市场节奏，需观察量能确认趋势
22,航发动力,600893,40.53,3.42,1413422048.0,1.31,全市场热门,跟随市场节奏，需观察量能确认趋势
23,华天科技,002185,18.55,2.88,10709142821.0,17.42,半导体,跟随市场节奏，需观察量能确认趋势
24,TCL中环,002129,9.02,2.85,626111460.0,1.74,新能源,跟随市场节奏，需观察量能确认趋势
25,深南电路,002916,395.02,2.74,3091386489.9999995,1.17,半导体,跟随市场节奏，需观察量能确认趋势
26,新易盛,300502,456.73,2.64,16218396661.0,2.81,光模块,跟随市场节奏，需观察量能确认趋势
27,长芯博创,300548,243.99,2.17,3160817299.0,4.42,光模块,跟随市场节奏，需观察量能确认趋势
28,通威股份,600438,11.59,2.11,313035567.0,0.61,新能源,跟随市场节奏，需观察量能确认趋势
29,海光信息,688041,246.45,2.1,5741931540.0,1.01,半导体,跟随市场节奏，需观察量能确认趋势
30,巨星科技,002444,28.55,2.07,293375934.0,0.9,机器人,跟随市场节奏，需观察量能确认趋势
31,沪电股份,002463,126.0,2.02,5569203983.0,2.31,半导体,跟随市场节奏，需观察量能确认趋势
32,颀中科技,688352,19.81,1.75,452249875.0,6.2,半导体,跟随市场节奏，需观察量能确认趋势
33,晶澳科技,002459,6.95,1.61,219232281.0,0.96,新能源,跟随市场节奏，需观察量能确认趋势
34,中际旭创,300308,941.0,1.57,19815564602.0,1.89,光模块,跟随市场节奏，需观察量能确认趋势
35,阳光电源,300274,88.47,1.4,4922639829.0,3.51,新能源,跟随市场节奏，需观察量能确认趋势
36,隆基绿能,601012,11.36,1.16,714348924.0,0.84,新能源,跟随市场节奏，需观察量能确认趋势
37,比亚迪,002594,85.22,1.09,2106704396.0000002,0.71,新能源,跟随市场节奏，需观察量能确认趋势
