序号,名称,代码,最新价,涨跌幅%,成交额(元),换手率%,所属板块,上涨驱动逻辑
1,格科微,688728,16.9,20.03,1164043119.0,3.05,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
2,长川科技,300604,318.0,20.0,12047998281.0,8.47,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
3,芯源微,688037,358.5,20.0,3252884526.0,4.98,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
4,天准科技,688003,79.75,20.0,681116728.0,4.91,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
5,富信科技,688662,84.6,19.15,1164866270.0,13.88,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
6,中微公司,688012,407.89,19.09,16645555544.0,4.78,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
7,精测电子,300567,245.8,16.6,3528773331.0,6.76,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
8,迈为股份,300751,195.31,16.58,2728736509.0,7.97,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
9,江苏北人,688218,38.88,15.58,292933104.0,6.96,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
10,国科微,300672,160.0,14.87,3053068462.9999995,10.19,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
11,长芯博创,300548,175.28,14.3,3437290085.0,7.48,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
12,扬杰科技,300373,98.51,13.36,2528788868.0,5.05,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
13,中际旭创,300308,1136.55,13.2,51302197633.99999,4.33,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
14,光库科技,300620,242.35,13.18,4012284126.0,7.55,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
15,思瑞浦,688536,258.97,13.09,1797161189.0,5.5,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
16,聚辰股份,688123,133.92,13.01,2464110612.0,12.86,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
17,圣邦股份,300661,110.05,12.28,2772813874.0,4.41,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
18,蓝思科技,300433,38.29,11.89,6171898590.000001,3.53,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
19,寒武纪,688256,1350.02,11.66,22090557774.0,2.74,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
20,中芯国际,688981,160.0,11.11,17265064638.0,5.7,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
21,佰维存储,688525,270.97,11.05,13983683916.0,11.94,半导体,半导体产业链：国产替代+AI芯片双轮驱动，关注设备/材料国产化率提升
22,捷捷微电,300623,27.33,10.29,1138810459.0,5.74,半导体,涨停封板，短线情绪推动，关注次日溢价和换手率变化
23,新洁能,605111,53.85,10.01,1287225137.0,6.26,半导体,涨停封板，短线情绪推动，关注次日溢价和换手率变化
24,兆易创新,603986,475.53,10.0,33087873791.0,11.13,半导体,涨停封板，短线情绪推动，关注次日溢价和换手率变化
25,太辰光,300570,153.19,9.96,3442241333.0,12.85,光模块,涨停封板，短线情绪推动，关注次日溢价和换手率变化
26,光迅科技,002281,187.0,9.67,13424196498.0,10.2,光模块,涨停封板，短线情绪推动，关注次日溢价和换手率变化
27,仕佳光子,688313,121.9,9.33,3607735968.0,7.23,光模块,主力资金介入，量价配合，关注板块联动和持续性
28,赛腾股份,603283,45.86,8.75,1704046494.0,11.43,机器人,主力资金介入，量价配合，关注板块联动和持续性
29,绿的谐波,688017,326.66,8.57,4218686145.0000005,7.46,机器人,主力资金介入，量价配合，关注板块联动和持续性
30,新易盛,300502,551.77,8.19,39883138339.0,6.04,光模块,主力资金介入，量价配合，关注板块联动和持续性
31,天孚通信,300394,231.0,8.18,13858692755.0,5.96,光模块,主力资金介入，量价配合，关注板块联动和持续性
32,英维克,002837,59.99,8.17,3973850731.0,6.35,光模块,主力资金介入，量价配合，关注板块联动和持续性
33,凌云光,688400,47.02,7.99,833502414.0,4.09,机器人,主力资金介入，量价配合，关注板块联动和持续性
34,容百科技,688005,26.66,7.98,697569853.0,3.75,新能源,主力资金介入，量价配合，关注板块联动和持续性
35,禾川科技,688320,28.02,7.85,171245043.0,4.28,机器人,主力资金介入，量价配合，关注板块联动和持续性
36,盛弘股份,300693,34.97,7.43,593594766.0,6.49,新能源,主力资金介入，量价配合，关注板块联动和持续性
37,璞泰来,603659,22.98,7.28,1063932264.0,2.19,新能源,主力资金介入，量价配合，关注板块联动和持续性
38,雷赛智能,002979,56.56,6.74,958703434.0,7.94,机器人,主力资金介入，量价配合，关注板块联动和持续性
39,维宏股份,300508,35.88,6.47,182116985.0,6.67,机器人,主力资金介入，量价配合，关注板块联动和持续性
40,亿纬锂能,300014,54.21,6.4,4090127116.0,3.63,新能源,主力资金介入，量价配合，关注板块联动和持续性
41,星源材质,300568,12.76,6.16,1133382869.0,7.66,新能源,主力资金介入，量价配合，关注板块联动和持续性
42,晶盛机电,300316,38.51,5.83,1096113857.0,2.39,新能源,主力资金介入，量价配合，关注板块联动和持续性
43,拓斯达,300607,30.5,5.54,1082944738.0,11.09,机器人,主力资金介入，量价配合，关注板块联动和持续性
44,天奈科技,688116,33.43,5.26,375154498.0,3.09,新能源,主力资金介入，量价配合，关注板块联动和持续性
45,科华数据,002335,30.62,4.33,846928622.9999999,4.31,新能源,AI应用：大模型商用落地+信创替代，关注有真实收入转化的标的
46,东方日升,300118,9.29,3.8,393858393.0,4.75,新能源,跟随市场节奏，需观察量能确认趋势
