序号,名称,代码,最新价,涨跌幅%,成交额(元),换手率%,所属板块,上涨驱动逻辑
1,道通科技,688208,27.18,9.73,694983717.9999999,3.91,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
2,传音控股,688036,65.43,6.56,2210873704.0,2.91,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
3,中科创达,300496,57.33,6.54,1449932368.0000002,6.77,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
4,博实股份,002698,12.83,4.39,293094593.0,2.74,全市场热门,跟随市场节奏，需观察量能确认趋势
5,泰格医药,300347,53.99,4.03,1989207278.0,6.63,全市场热门,医药生物：创新药出海加速+CXO订单回暖，估值修复行情
6,智飞生物,300122,12.96,3.85,583375048.0,3.24,全市场热门,医药生物：创新药出海加速+CXO订单回暖，估值修复行情
7,埃斯顿,002747,42.43,3.74,4986099684.0,15.18,全市场热门,跟随市场节奏，需观察量能确认趋势
8,健帆生物,300529,17.7,3.69,215534192.0,2.41,全市场热门,医药生物：创新药出海加速+CXO订单回暖，估值修复行情
9,德赛西威,002920,85.93,3.63,876129866.0,1.72,全市场热门,跟随市场节奏，需观察量能确认趋势
10,深信服,300454,112.6,3.49,2559802441.0,7.96,全市场热门,跟随市场节奏，需观察量能确认趋势
11,歌尔股份,002241,23.02,3.46,3446143643.0,4.72,全市场热门,跟随市场节奏，需观察量能确认趋势
12,恒玄科技,688608,125.33,3.16,1447473184.0,4.83,全市场热门,跟随市场节奏，需观察量能确认趋势
13,迈瑞医疗,300760,150.31,2.95,3162466678.0,1.75,全市场热门,医药生物：创新药出海加速+CXO订单回暖，估值修复行情
14,比亚迪,002594,94.14,2.59,5673387682.000001,1.74,全市场热门,跟随市场节奏，需观察量能确认趋势
15,广联达,002410,8.74,2.58,315772211.0,2.32,全市场热门,跟随市场节奏，需观察量能确认趋势
16,北汽蓝谷,600733,4.79,2.57,431677002.99999994,1.63,全市场热门,跟随市场节奏，需观察量能确认趋势
17,华兰生物,002007,13.66,2.55,317361119.0,1.49,全市场热门,医药生物：创新药出海加速+CXO订单回暖，估值修复行情
18,巨星科技,002444,29.89,2.54,305556212.0,0.9,全市场热门,跟随市场节奏，需观察量能确认趋势
19,润和软件,300339,36.56,2.5,1096235513.0,3.86,全市场热门,AI应用：大模型商用落地+信创替代，关注有真实收入转化的标的
20,全志科技,300458,38.52,2.42,3649785456.0,11.44,全市场热门,跟随市场节奏，需观察量能确认趋势
21,机器人,300024,15.3,1.59,863613535.0,3.59,机器人,机器人产业：特斯拉Optimus迭代+国内政策支持，减速器/伺服系统先行受益
22,飞荣达,300602,41.03,1.11,1283965321.0,7.68,光模块,跟随市场节奏，需观察量能确认趋势
