序号,名称,代码,最新价,涨跌幅%,成交额(元),换手率%,所属板块,上涨驱动逻辑
1,金山办公,688111,244.27,9.29,3851884721.0,3.53,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
2,中科星图,688568,34.33,7.01,623325790.0,2.39,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
3,恒玄科技,688608,120.55,6.87,1162993175.0,4.21,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
4,泸州老窖,000568,87.68,6.33,2550987295.0,2.0,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
5,国电南瑞,600406,23.56,6.17,3719779539.0,2.0,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
6,中无人机,688297,40.65,6.14,340392114.0,1.27,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
7,柏楚电子,688188,95.72,6.0,441007169.99999994,1.19,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
8,贵州茅台,600519,1327.5,5.95,13898351084.0,0.85,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
9,广联达,002410,9.01,5.88,422966513.0,3.07,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
10,新易盛,300502,510.0,5.62,34530785007.0,5.44,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
11,药明康德,603259,124.22,5.37,8484725455.0,2.8,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
12,深信服,300454,113.02,5.15,2651823942.0,8.28,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
13,时代电气,688187,48.08,5.14,627414576.0,1.57,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
14,康龙化成,300759,37.28,5.07,4442978369.0,8.51,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
15,海光信息,688041,320.12,5.0,11296798645.0,1.57,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
16,中国平安,601318,53.23,4.99,9212523658.0,1.65,全市场热门,跟随市场节奏，需观察量能确认趋势
17,五 粮 液,000858,76.24,4.78,4885488078.0,1.67,全市场热门,跟随市场节奏，需观察量能确认趋势
18,宁德时代,300750,376.43,4.56,16632779399.000002,1.05,全市场热门,跟随市场节奏，需观察量能确认趋势
19,恒瑞医药,600276,55.57,4.47,6214720011.0,1.78,全市场热门,医药生物：创新药出海加速+CXO订单回暖，估值修复行情
20,中航沈飞,600760,41.99,4.43,1221181055.0,1.03,全市场热门,跟随市场节奏，需观察量能确认趋势
21,天合光能,688599,12.86,4.3,582444820.0,2.0,新能源,跟随市场节奏，需观察量能确认趋势
22,中科创达,300496,58.41,4.02,1178772441.0,5.53,机器人,跟随市场节奏，需观察量能确认趋势
23,晶科能源,688223,4.17,3.99,607203025.0,1.46,新能源,跟随市场节奏，需观察量能确认趋势
24,天奈科技,688116,31.76,3.59,318947008.0,2.77,新能源,跟随市场节奏，需观察量能确认趋势
25,菲菱科思,301191,100.9,3.48,1139709253.0,15.05,光模块,跟随市场节奏，需观察量能确认趋势
26,五矿新能,688779,6.9,3.14,257333836.99999997,1.94,新能源,新能源：光伏装机超预期+锂电排产回暖，关注新技术路线(固态/钠电)
27,容百科技,688005,24.69,2.96,433560953.0,2.48,新能源,跟随市场节奏，需观察量能确认趋势
28,中芯国际,688981,144.0,2.95,13464937827.000002,4.7,半导体,跟随市场节奏，需观察量能确认趋势
29,特变电工,600089,19.2,2.89,2642477343.0,2.74,新能源,跟随市场节奏，需观察量能确认趋势
30,中际旭创,300308,1004.0,2.51,46094376323.99999,4.09,光模块,跟随市场节奏，需观察量能确认趋势
31,全志科技,300458,35.92,2.13,3626552835.0,12.43,半导体,跟随市场节奏，需观察量能确认趋势
32,隆基绿能,601012,12.0,2.13,1462382005.0,1.63,新能源,跟随市场节奏，需观察量能确认趋势
33,寒武纪,688256,1209.0,1.55,19752324179.0,2.57,半导体,跟随市场节奏，需观察量能确认趋势
34,晶澳科技,002459,7.06,1.44,292391284.0,1.27,新能源,跟随市场节奏，需观察量能确认趋势
35,天孚通信,300394,213.54,1.03,11211419029.000002,4.79,光模块,跟随市场节奏，需观察量能确认趋势
