序号,名称,代码,最新价,涨跌幅%,成交额(元),换手率%,所属板块,上涨驱动逻辑
1,万兴科技,300624,56.32,8.52,1800086804.0000002,18.75,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
2,中无人机,688297,42.13,8.03,933403742.0,3.33,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
3,德赛西威,002920,92.35,4.65,1120512869.0,2.06,全市场热门,跟随市场节奏，需观察量能确认趋势
4,智飞生物,300122,14.12,3.37,848207409.0,4.3,全市场热门,医药生物：创新药出海加速+CXO订单回暖，估值修复行情
5,奇安信-U,688561,27.73,3.32,396213773.0,2.13,全市场热门,跟随市场节奏，需观察量能确认趋势
6,唯捷创芯,688153,27.86,2.73,251996974.99999997,2.15,全市场热门,跟随市场节奏，需观察量能确认趋势
7,中国平安,601318,57.23,2.53,6156593174.000001,1.01,全市场热门,跟随市场节奏，需观察量能确认趋势
8,润和软件,300339,37.08,2.52,1304443600.0,4.55,全市场热门,AI应用：大模型商用落地+信创替代，关注有真实收入转化的标的
9,兴业银行,601166,17.95,2.34,3018725751.0,0.8,全市场热门,跟随市场节奏，需观察量能确认趋势
10,迈瑞医疗,300760,169.08,2.26,2589391534.0,1.26,全市场热门,医药生物：创新药出海加速+CXO订单回暖，估值修复行情
11,泸州老窖,000568,78.68,2.18,1103440315.0,0.95,全市场热门,跟随市场节奏，需观察量能确认趋势
12,洋河股份,002304,39.46,2.12,273044223.0,0.46,全市场热门,跟随市场节奏，需观察量能确认趋势
13,通威股份,600438,11.82,1.98,463984415.0,0.88,新能源,跟随市场节奏，需观察量能确认趋势
14,长川科技,300604,284.27,1.88,8014843529.000001,5.74,半导体,跟随市场节奏，需观察量能确认趋势
15,天奈科技,688116,34.14,1.34,239381761.0,1.91,新能源,跟随市场节奏，需观察量能确认趋势
