序号,名称,代码,最新价,涨跌幅%,成交额(元),换手率%,所属板块,上涨驱动逻辑
1,康希诺,688185,64.43,20.0,212586914.0,2.88,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
2,康泰生物,300601,14.47,19.98,1447691315.0,11.36,全市场热门,医药生物：创新药出海加速+CXO订单回暖，估值修复行情
3,智飞生物,300122,14.48,19.97,892674491.0,4.36,全市场热门,医药生物：创新药出海加速+CXO订单回暖，估值修复行情
4,太辰光,300570,213.4,18.38,7949703268.0,20.45,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
5,思瑞浦,688536,309.94,15.31,2891050680.0000005,7.02,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
6,美迪西,688202,110.0,10.15,1469866228.0,10.18,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
7,圣邦股份,300661,116.58,9.48,2344349909.0,3.36,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
8,德科立,688205,166.99,8.94,2515483695.0,9.57,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
9,腾景科技,688195,176.28,8.9,2687345352.0,8.47,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
10,君实生物-U,688180,40.45,8.45,1752795802.0,5.68,全市场热门,医药生物：创新药出海加速+CXO订单回暖，估值修复行情
11,仕佳光子,688313,164.0,8.32,5071166883.0,7.0,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
12,奥普特,688686,123.67,7.54,375404635.0,2.53,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
13,光库科技,300620,310.96,7.49,3752732653.0000005,5.0,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
14,泰格医药,300347,55.52,7.22,2769717163.9999995,8.72,全市场热门,医药生物：创新药出海加速+CXO订单回暖，估值修复行情
15,长芯博创,300548,204.0,7.13,3798118730.0,6.41,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
16,天准科技,688003,87.16,6.93,963180796.0,5.69,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
17,芯源微,688037,367.59,6.64,2957540627.0,4.03,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
18,瑞可达,688800,61.05,6.16,929747929.0,5.31,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
19,捷捷微电,300623,29.43,5.48,1562343479.0,6.86,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
20,恒玄科技,688608,110.77,5.38,759497113.0,2.95,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
21,晶丰明源,688368,129.41,3.82,460929349.0,2.91,半导体,跟随市场节奏，需观察量能确认趋势
22,迈为股份,300751,196.04,3.45,2235631418.0,5.88,新能源,跟随市场节奏，需观察量能确认趋势
23,胜宏科技,300476,253.45,3.29,7524917060.0,3.41,光模块,跟随市场节奏，需观察量能确认趋势
24,富信科技,688662,94.66,2.62,1167600839.0,10.77,光模块,跟随市场节奏，需观察量能确认趋势
25,江苏北人,688218,40.08,2.56,250393198.0,5.36,机器人,跟随市场节奏，需观察量能确认趋势
26,凌云光,688400,47.11,2.41,435803557.0,2.03,机器人,跟随市场节奏，需观察量能确认趋势
27,华中数控,300161,27.55,2.19,154394183.0,2.88,机器人,跟随市场节奏，需观察量能确认趋势
28,比亚迪,002594,90.48,2.05,3237942077.9999995,1.03,新能源,跟随市场节奏，需观察量能确认趋势
29,菲菱科思,301191,90.7,2.02,316638319.0,4.8,光模块,跟随市场节奏，需观察量能确认趋势
30,三安光电,600703,13.75,1.78,1655618918.9999998,2.42,半导体,跟随市场节奏，需观察量能确认趋势
31,精测电子,300567,217.9,1.73,1347653944.0,2.71,机器人,跟随市场节奏，需观察量能确认趋势
32,晶科能源,688223,4.39,1.62,235675124.0,0.52,新能源,跟随市场节奏，需观察量能确认趋势
33,中颖电子,300327,22.65,1.57,167149997.0,2.17,半导体,跟随市场节奏，需观察量能确认趋势
34,星源材质,300568,14.57,1.11,785027113.0,4.47,新能源,跟随市场节奏，需观察量能确认趋势
