序号,名称,代码,最新价,涨跌幅%,成交额(元),换手率%,所属板块,上涨驱动逻辑
1,晶丰明源,688368,140.28,20.0,794789891.0000001,4.97,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
2,瑞可达,688800,68.45,12.16,1358406588.0,7.15,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
3,长芯博创,300548,216.01,12.0,4972395922.0,7.94,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
4,华润微,688396,63.0,9.0,1914131647.0,2.36,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
5,康希诺,688185,92.78,8.36,1890639860.0,18.72,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
6,颀中科技,688352,18.46,8.27,507591449.99999994,7.78,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
7,芯原股份,688521,193.7,7.31,5090130497.0,5.13,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
8,聚辰股份,688123,139.83,7.15,1295606417.0,5.93,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
9,唯捷创芯,688153,26.89,6.88,154014956.0,1.4,半导体,主力资金介入，量价配合，关注板块联动和持续性
10,佰维存储,688525,238.44,6.76,5893504538.0,5.36,全市场热门,半导体产业链：国产替代+AI芯片双轮驱动，关注设备/材料国产化率提升
11,深信服,300454,120.0,6.54,1935420240.0,5.7,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
12,海光信息,688041,245.97,6.5,7643209237.0,1.35,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
13,仕佳光子,688313,159.14,6.44,3482444466.9999995,4.91,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
14,雅克科技,002409,143.91,6.42,2807152935.0000005,6.24,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
15,复旦微电,688385,54.53,6.38,743088967.0,2.58,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
16,英维克,002837,65.97,6.28,6845251646.0,9.41,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
17,太辰光,300570,209.38,6.11,5185150555.0,13.05,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
18,国科微,300672,171.09,6.08,1521808963.0,4.34,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
19,源杰科技,688498,1630.99,5.91,5872101740.999999,2.98,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
20,扬杰科技,300373,96.93,5.88,1653197465.0,3.19,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
21,智飞生物,300122,15.0,5.86,1682748887.9999998,8.23,全市场热门,医药生物：创新药出海加速+CXO订单回暖，估值修复行情
22,富信科技,688662,91.66,5.83,971288693.0,9.4,光模块,主力资金介入，量价配合，关注板块联动和持续性
23,光库科技,300620,300.9,5.58,3403358357.0,4.66,光模块,主力资金介入，量价配合，关注板块联动和持续性
24,高澜股份,300499,31.5,5.53,1112163615.0,13.24,光模块,主力资金介入，量价配合，关注板块联动和持续性
25,胜宏科技,300476,263.05,5.46,10207529387.0,4.55,光模块,主力资金介入，量价配合，关注板块联动和持续性
26,精测电子,300567,221.8,5.32,1440302576.9999998,2.9,机器人,主力资金介入，量价配合，关注板块联动和持续性
27,赛腾股份,603283,48.48,4.98,1320967445.0,7.84,机器人,跟随市场节奏，需观察量能确认趋势
28,深南电路,002916,365.1,4.9,3483908638.0,1.45,半导体,跟随市场节奏，需观察量能确认趋势
29,兆易创新,603986,411.2,4.76,16542661247.0,6.09,半导体,跟随市场节奏，需观察量能确认趋势
30,安路科技,688107,31.24,4.73,170787634.0,1.39,半导体,跟随市场节奏，需观察量能确认趋势
31,奥普特,688686,137.05,4.19,297266806.0,1.82,机器人,跟随市场节奏，需观察量能确认趋势
32,晶盛机电,300316,45.18,3.93,529701884.99999994,0.97,新能源,跟随市场节奏，需观察量能确认趋势
33,凌云光,688400,47.25,3.89,391971607.0,1.84,机器人,跟随市场节奏，需观察量能确认趋势
34,禾川科技,688320,35.9,3.46,116567021.0,2.18,机器人,跟随市场节奏，需观察量能确认趋势
35,天准科技,688003,85.06,3.38,720764120.0,4.5,机器人,跟随市场节奏，需观察量能确认趋势
36,步科股份,688160,99.56,2.68,101825607.0,1.13,机器人,跟随市场节奏，需观察量能确认趋势
37,绿的谐波,688017,299.3,2.2,2215947058.0,4.1,机器人,跟随市场节奏，需观察量能确认趋势
38,迈为股份,300751,225.8,2.09,1567255226.0,3.66,新能源,跟随市场节奏，需观察量能确认趋势
39,科华数据,002335,30.83,1.92,456924325.0,2.26,新能源,AI应用：大模型商用落地+信创替代，关注有真实收入转化的标的
40,埃斯顿,002747,31.81,1.79,1197689578.0,4.85,机器人,跟随市场节奏，需观察量能确认趋势
41,星源材质,300568,15.53,1.7,1335476822.0,7.2,新能源,跟随市场节奏，需观察量能确认趋势
42,中科创达,300496,56.78,1.68,452052580.0,2.17,机器人,跟随市场节奏，需观察量能确认趋势
43,赣锋锂业,002460,54.13,1.18,1498462526.0,2.31,新能源,跟随市场节奏，需观察量能确认趋势
