序号,名称,代码,最新价,涨跌幅%,成交额(元),换手率%,所属板块,上涨驱动逻辑
1,鹏辉能源,300438,60.44,9.79,2300324399.0,9.65,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
2,特变电工,600089,21.53,8.85,6017459717.0,5.69,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
3,锦浪科技,300763,62.19,8.23,1267909928.0,6.53,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
4,赣锋锂业,002460,51.19,7.93,4262069576.0,7.03,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
5,阳光电源,300274,117.79,7.13,10719171879.0,5.86,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
6,固德威,688390,67.17,6.86,577977628.0,3.63,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
7,五矿新能,688779,7.37,6.81,291955670.0,2.11,全市场热门,新能源：光伏装机超预期+锂电排产回暖，关注新技术路线(固态/钠电)
8,上能电气,300827,25.45,6.09,645553494.0,5.95,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
9,璞泰来,603659,24.12,6.02,1074696011.0,2.13,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
10,日发精机,002520,5.36,5.51,246891897.0,6.51,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
11,航发动力,600893,35.6,4.95,1432313697.9999998,1.53,全市场热门,跟随市场节奏，需观察量能确认趋势
12,星源材质,300568,12.46,4.71,936059694.0,6.33,全市场热门,跟随市场节奏，需观察量能确认趋势
13,通威股份,600438,11.6,4.6,804266663.0,1.57,全市场热门,跟随市场节奏，需观察量能确认趋势
14,亿纬锂能,300014,55.31,4.36,3298474828.0,2.87,全市场热门,跟随市场节奏，需观察量能确认趋势
15,道通科技,688208,27.36,4.11,455599312.99999994,2.51,全市场热门,跟随市场节奏，需观察量能确认趋势
16,雷赛智能,002979,60.06,4.09,1138981839.0,8.55,全市场热门,跟随市场节奏，需观察量能确认趋势
17,江苏北人,688218,39.14,3.99,146534744.0,3.3,机器人,跟随市场节奏，需观察量能确认趋势
18,三角防务,300775,20.34,3.83,328513693.0,3.08,全市场热门,跟随市场节奏，需观察量能确认趋势
19,东方日升,300118,9.51,3.71,344686429.99999994,3.96,全市场热门,跟随市场节奏，需观察量能确认趋势
20,宁德时代,300750,385.99,3.69,13610468722.000002,0.84,全市场热门,跟随市场节奏，需观察量能确认趋势
21,盛弘股份,300693,35.91,3.61,406944031.00000006,4.27,全市场热门,跟随市场节奏，需观察量能确认趋势
22,博实股份,002698,12.15,2.27,154457755.0,1.54,机器人,跟随市场节奏，需观察量能确认趋势
23,源杰科技,688498,1445.0,2.12,8306314547.999999,4.65,光模块,跟随市场节奏，需观察量能确认趋势
24,瑞可达,688800,61.18,1.68,627585151.0,3.54,光模块,跟随市场节奏，需观察量能确认趋势
25,中际旭创,300308,1072.52,1.1,29558225786.0,2.46,光模块,跟随市场节奏，需观察量能确认趋势
