序号,名称,代码,最新价,涨跌幅%,成交额(元),换手率%,所属板块,上涨驱动逻辑
1,康希诺,688185,85.62,20.0,466118168.0,4.82,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
2,芯原股份,688521,180.5,9.73,4534339326.0,4.94,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
3,智飞生物,300122,14.17,8.67,1533244775.0,7.53,全市场热门,医药生物：创新药出海加速+CXO订单回暖，估值修复行情
4,星源材质,300568,15.27,6.04,1208321918.0,6.66,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
5,芯源微,688037,372.82,4.83,2137382098.0,2.89,全市场热门,跟随市场节奏，需观察量能确认趋势
6,长川科技,300604,276.2,4.77,4484104756.0,3.36,全市场热门,跟随市场节奏，需观察量能确认趋势
7,迈为股份,300751,221.18,4.58,2508427973.0,5.89,全市场热门,跟随市场节奏，需观察量能确认趋势
8,沪电股份,002463,119.22,4.31,7090402473.0,3.1,全市场热门,跟随市场节奏，需观察量能确认趋势
9,康泰生物,300601,13.5,4.25,779253749.0,6.37,全市场热门,医药生物：创新药出海加速+CXO订单回暖，估值修复行情
10,立讯精密,002475,57.11,4.1,8648872320.0,2.12,全市场热门,跟随市场节奏，需观察量能确认趋势
11,鹏辉能源,300438,63.03,4.01,1151232489.0,4.53,全市场热门,跟随市场节奏，需观察量能确认趋势
12,中微公司,688012,368.05,3.97,6022038625.0,1.76,全市场热门,跟随市场节奏，需观察量能确认趋势
13,菲菱科思,301191,90.75,3.75,487292742.0,7.32,全市场热门,跟随市场节奏，需观察量能确认趋势
14,国轩高科,002074,27.89,3.56,1196558917.0,2.49,全市场热门,跟随市场节奏，需观察量能确认趋势
15,同花顺,300033,223.09,3.53,4950861257.0,5.04,全市场热门,跟随市场节奏，需观察量能确认趋势
16,中芯国际,688981,124.15,3.46,4931938236.0,2.01,全市场热门,跟随市场节奏，需观察量能确认趋势
17,奥普特,688686,131.54,3.29,363536754.0,2.32,全市场热门,跟随市场节奏，需观察量能确认趋势
18,歌尔股份,002241,23.82,3.25,2911374326.0,3.94,全市场热门,跟随市场节奏，需观察量能确认趋势
19,英维克,002837,62.07,3.05,7142634838.0,10.14,全市场热门,跟随市场节奏，需观察量能确认趋势
20,腾景科技,688195,171.0,3.02,1710786391.0,5.61,全市场热门,跟随市场节奏，需观察量能确认趋势
21,天奈科技,688116,33.26,2.97,302451963.0,2.48,新能源,跟随市场节奏，需观察量能确认趋势
22,中颖电子,300327,23.39,2.86,368109920.0,4.59,半导体,跟随市场节奏，需观察量能确认趋势
23,阳光电源,300274,112.62,2.76,3337653471.0,1.88,新能源,跟随市场节奏，需观察量能确认趋势
24,巨星科技,002444,30.26,2.65,294891560.0,0.85,机器人,跟随市场节奏，需观察量能确认趋势
25,锦浪科技,300763,63.2,2.6,1200658725.0,5.81,新能源,跟随市场节奏，需观察量能确认趋势
26,国科微,300672,161.29,2.44,1207302808.0,3.61,半导体,跟随市场节奏，需观察量能确认趋势
27,亿纬锂能,300014,55.9,2.44,2067227492.0,1.75,新能源,跟随市场节奏，需观察量能确认趋势
28,固德威,688390,65.23,2.32,374641581.0,2.36,新能源,跟随市场节奏，需观察量能确认趋势
29,上能电气,300827,26.11,2.31,282472093.0,2.49,新能源,跟随市场节奏，需观察量能确认趋势
30,精测电子,300567,210.6,2.09,1766445994.0,3.7,机器人,跟随市场节奏，需观察量能确认趋势
31,深南电路,002916,348.03,2.06,2561595421.0,1.11,半导体,跟随市场节奏，需观察量能确认趋势
32,胜宏科技,300476,249.44,1.82,6162783914.0,2.86,光模块,跟随市场节奏，需观察量能确认趋势
33,璞泰来,603659,24.12,1.64,634591429.0,1.23,新能源,跟随市场节奏，需观察量能确认趋势
34,晶科能源,688223,4.4,1.38,288261889.0,0.64,新能源,跟随市场节奏，需观察量能确认趋势
