序号,名称,代码,最新价,涨跌幅%,成交额(元),换手率%,所属板块,上涨驱动逻辑
1,三安光电,600703,13.89,9.98,3458214352.0,5.03,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
2,腾景科技,688195,202.3,8.76,2826350212.0,7.8,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
3,开普云,688228,85.4,5.96,258633453.0,4.6,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
4,德科立,688205,182.4,5.25,2633988816.0,9.19,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
5,航宇科技,688239,54.22,4.67,564135855.0,5.52,全市场热门,跟随市场节奏，需观察量能确认趋势
6,高澜股份,300499,33.84,4.35,1485390901.0,16.3,全市场热门,跟随市场节奏，需观察量能确认趋势
7,盛弘股份,300693,41.1,4.13,521106294.0,4.76,全市场热门,跟随市场节奏，需观察量能确认趋势
8,星源材质,300568,14.43,3.81,745462184.0,4.3,全市场热门,跟随市场节奏，需观察量能确认趋势
9,绿盟科技,300369,7.72,3.76,435861429.0,7.04,全市场热门,跟随市场节奏，需观察量能确认趋势
10,深信服,300454,135.15,3.68,2186038646.0,5.58,全市场热门,跟随市场节奏，需观察量能确认趋势
11,英维克,002837,68.49,3.41,6020923321.0,7.86,全市场热门,跟随市场节奏，需观察量能确认趋势
12,凌云光,688400,46.23,3.08,395636161.0,1.88,全市场热门,跟随市场节奏，需观察量能确认趋势
13,拓斯达,300607,35.67,2.91,1260537185.0,10.28,全市场热门,跟随市场节奏，需观察量能确认趋势
14,拓普集团,601689,47.83,2.82,1381115301.0,1.66,全市场热门,跟随市场节奏，需观察量能确认趋势
15,巨星科技,002444,30.55,2.52,248695370.0,0.71,全市场热门,跟随市场节奏，需观察量能确认趋势
16,步科股份,688160,100.97,2.48,134975914.0,1.47,机器人,跟随市场节奏，需观察量能确认趋势
17,中国平安,601318,58.0,2.42,6309518752.0,1.02,全市场热门,跟随市场节奏，需观察量能确认趋势
18,长盈精密,300115,24.48,2.38,801793736.0000001,2.43,全市场热门,跟随市场节奏，需观察量能确认趋势
19,固德威,688390,62.2,2.35,491747489.0,3.28,全市场热门,跟随市场节奏，需观察量能确认趋势
20,康希诺,688185,73.93,2.33,733132709.0,8.82,全市场热门,跟随市场节奏，需观察量能确认趋势
21,工业富联,601138,63.2,2.27,5807397036.0,0.46,全市场热门,跟随市场节奏，需观察量能确认趋势
22,国科微,300672,188.8,2.21,1750500488.0,4.46,半导体,跟随市场节奏，需观察量能确认趋势
23,安路科技,688107,30.2,2.03,198411581.0,1.66,半导体,跟随市场节奏，需观察量能确认趋势
24,绿的谐波,688017,290.41,1.9,1680541411.0,3.15,机器人,跟随市场节奏，需观察量能确认趋势
25,科华数据,002335,30.53,1.87,494685860.0,2.48,新能源,AI应用：大模型商用落地+信创替代，关注有真实收入转化的标的
26,上能电气,300827,24.5,1.83,215124715.0,2.01,新能源,跟随市场节奏，需观察量能确认趋势
27,源杰科技,688498,1508.0,1.82,3847566792.0,2.09,光模块,跟随市场节奏，需观察量能确认趋势
28,晶丰明源,688368,154.52,1.66,675612782.0,3.57,半导体,跟随市场节奏，需观察量能确认趋势
29,天奈科技,688116,35.43,1.61,296213218.0,2.29,新能源,跟随市场节奏，需观察量能确认趋势
30,复旦微电,688385,56.17,1.59,768918556.0,2.57,半导体,跟随市场节奏，需观察量能确认趋势
31,聚辰股份,688123,132.06,1.55,638828063.0,3.06,半导体,跟随市场节奏，需观察量能确认趋势
32,璞泰来,603659,22.72,1.07,322866187.0,0.66,新能源,跟随市场节奏，需观察量能确认趋势
