序号,名称,代码,最新价,涨跌幅%,成交额(元),换手率%,所属板块,上涨驱动逻辑
1,高澜股份,300499,36.82,8.42,1832561067.0,19.39,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
2,星源材质,300568,14.97,7.85,1523485029.0,8.58,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
3,德科立,688205,223.3,5.33,4344056633.0,12.15,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
4,航宇科技,688239,56.39,3.96,455320532.0,4.21,全市场热门,跟随市场节奏，需观察量能确认趋势
5,思瑞浦,688536,308.72,3.48,689189967.9999999,1.64,全市场热门,跟随市场节奏，需观察量能确认趋势
6,美迪西,688202,96.7,3.2,866681795.0,6.72,全市场热门,跟随市场节奏，需观察量能确认趋势
7,卓胜微,300782,73.89,3.18,1169685264.0,3.41,全市场热门,跟随市场节奏，需观察量能确认趋势
8,泰格医药,300347,54.68,2.59,1254363066.0,4.06,全市场热门,医药生物：创新药出海加速+CXO订单回暖，估值修复行情
9,中航高科,600862,19.05,2.58,488137429.0,1.85,全市场热门,跟随市场节奏，需观察量能确认趋势
10,沪电股份,002463,127.55,2.12,6100788161.000001,2.47,全市场热门,跟随市场节奏，需观察量能确认趋势
11,瑞可达,688800,67.68,2.08,993892277.0,5.07,全市场热门,跟随市场节奏，需观察量能确认趋势
12,上汽集团,600104,10.93,2.05,724944527.0,0.58,全市场热门,跟随市场节奏，需观察量能确认趋势
13,胜宏科技,300476,233.51,1.96,6290028922.999999,3.1,光模块,跟随市场节奏，需观察量能确认趋势
14,长芯博创,300548,215.2,1.8,3163383583.0,4.9,光模块,跟随市场节奏，需观察量能确认趋势
15,颀中科技,688352,17.7,1.61,525843416.0,7.97,半导体,跟随市场节奏，需观察量能确认趋势
16,光迅科技,002281,182.79,1.6,7454716651.0,5.08,光模块,跟随市场节奏，需观察量能确认趋势
17,光库科技,300620,291.88,1.07,3359309050.9999995,4.54,光模块,跟随市场节奏，需观察量能确认趋势
18,特变电工,600089,19.28,1.05,1327074007.0,1.37,新能源,跟随市场节奏，需观察量能确认趋势
