序号,名称,代码,最新价,涨跌幅%,成交额(元),换手率%,所属板块,上涨驱动逻辑
1,迈为股份,300751,201.72,4.16,1819378809.0,4.76,全市场热门,跟随市场节奏，需观察量能确认趋势
2,飞荣达,300602,43.12,3.73,1521453586.0,8.76,全市场热门,跟随市场节奏，需观察量能确认趋势
3,开普云,688228,82.44,3.7,332046627.0,5.96,全市场热门,跟随市场节奏，需观察量能确认趋势
4,*ST闻泰,600745,17.2,3.18,750373431.0,3.42,全市场热门,跟随市场节奏，需观察量能确认趋势
5,中国平安,601318,54.92,2.94,7149813532.0,1.23,全市场热门,跟随市场节奏，需观察量能确认趋势
6,赣锋锂业,002460,55.63,2.79,3623821160.0,5.35,全市场热门,跟随市场节奏，需观察量能确认趋势
7,迈瑞医疗,300760,158.68,2.74,1874049702.9999998,0.98,全市场热门,医药生物：创新药出海加速+CXO订单回暖，估值修复行情
8,贵州茅台,600519,1304.66,2.5,6299794441.0,0.39,全市场热门,跟随市场节奏，需观察量能确认趋势
9,高澜股份,300499,28.95,2.44,780173259.0,10.01,全市场热门,跟随市场节奏，需观察量能确认趋势
10,中航沈飞,600760,45.06,2.29,862694146.0,0.68,全市场热门,跟随市场节奏，需观察量能确认趋势
11,蓝思科技,300433,37.95,2.04,4572098933.0,2.45,全市场热门,跟随市场节奏，需观察量能确认趋势
12,美的集团,000333,85.99,2.0,2368707197.0,0.4,全市场热门,跟随市场节奏，需观察量能确认趋势
13,赛腾股份,603283,47.6,1.82,1047193765.0,6.36,机器人,跟随市场节奏，需观察量能确认趋势
14,国民技术,300077,19.72,1.6,1184202543.0,10.31,半导体,跟随市场节奏，需观察量能确认趋势
15,雅克科技,002409,140.59,1.51,3380931832.9999995,7.59,半导体,跟随市场节奏，需观察量能确认趋势
16,英维克,002837,54.75,1.16,2386975918.0,3.87,光模块,跟随市场节奏，需观察量能确认趋势
17,晶盛机电,300316,42.99,1.08,612610536.0,1.16,新能源,跟随市场节奏，需观察量能确认趋势
18,瑞可达,688800,64.2,1.01,1024671104.0,5.55,光模块,跟随市场节奏，需观察量能确认趋势
