序号,名称,代码,最新价,涨跌幅%,成交额(元),换手率%,所属板块,上涨驱动逻辑
1,洋河股份,002304,42.44,4.82,766613784.0,1.2,全市场热门,跟随市场节奏，需观察量能确认趋势
2,五 粮 液,000858,78.56,4.51,5681290331.999999,1.88,全市场热门,跟随市场节奏，需观察量能确认趋势
3,迈瑞医疗,300760,161.62,4.35,2840604819.0,1.47,全市场热门,医药生物：创新药出海加速+CXO订单回暖，估值修复行情
4,北汽蓝谷,600733,5.96,3.83,1998595392.0,5.47,全市场热门,跟随市场节奏，需观察量能确认趋势
5,佰维存储,688525,219.84,3.76,11356704911.0,11.1,全市场热门,半导体产业链：国产替代+AI芯片双轮驱动，关注设备/材料国产化率提升
6,德赛西威,002920,88.94,3.6,1407407766.0000002,2.67,全市场热门,跟随市场节奏，需观察量能确认趋势
7,上汽集团,600104,11.15,3.53,936096753.9999999,0.74,全市场热门,跟随市场节奏，需观察量能确认趋势
8,柏楚电子,688188,105.33,3.14,445971726.0,1.06,全市场热门,跟随市场节奏，需观察量能确认趋势
9,道通科技,688208,28.4,3.12,580468117.0,3.05,全市场热门,跟随市场节奏，需观察量能确认趋势
10,贵州茅台,600519,1361.76,3.09,9712135434.0,0.57,全市场热门,跟随市场节奏，需观察量能确认趋势
11,汇川技术,300124,63.51,3.08,3068307723.0,2.01,全市场热门,跟随市场节奏，需观察量能确认趋势
12,宁波银行,002142,32.9,3.07,1172332294.0,0.55,全市场热门,跟随市场节奏，需观察量能确认趋势
13,中国平安,601318,55.8,2.76,5834022322.0,0.99,全市场热门,跟随市场节奏，需观察量能确认趋势
14,兴业银行,601166,19.1,2.74,2983174091.0,0.74,全市场热门,跟随市场节奏，需观察量能确认趋势
15,海天味业,603288,38.66,2.71,1127698145.0,0.53,全市场热门,跟随市场节奏，需观察量能确认趋势
16,金山办公,688111,252.19,2.69,3219855604.0,2.73,全市场热门,跟随市场节奏，需观察量能确认趋势
17,TCL中环,002129,8.85,2.67,1239226417.0,3.5,全市场热门,跟随市场节奏，需观察量能确认趋势
18,泸州老窖,000568,90.54,2.62,1793155538.0,1.34,全市场热门,跟随市场节奏，需观察量能确认趋势
19,爱尔眼科,300015,9.08,2.37,1135632564.0,1.57,全市场热门,跟随市场节奏，需观察量能确认趋势
20,星源材质,300568,13.1,2.26,1232292447.0,7.73,全市场热门,跟随市场节奏，需观察量能确认趋势
21,兆易创新,603986,371.1,1.94,35483794588.0,14.53,半导体,跟随市场节奏，需观察量能确认趋势
22,亿纬锂能,300014,54.22,1.88,2903992052.0000005,2.54,新能源,跟随市场节奏，需观察量能确认趋势
23,晶科能源,688223,4.35,1.87,547160072.0,1.22,新能源,跟随市场节奏，需观察量能确认趋势
24,天奈科技,688116,33.66,1.69,273192762.0,2.21,新能源,跟随市场节奏，需观察量能确认趋势
25,隆基绿能,601012,13.02,1.64,1998593358.0,2.02,新能源,跟随市场节奏，需观察量能确认趋势
26,国电南瑞,600406,24.32,1.63,1828389776.0000002,0.95,新能源,跟随市场节奏，需观察量能确认趋势
27,晶澳科技,002459,7.51,1.62,385049718.0,1.55,新能源,跟随市场节奏，需观察量能确认趋势
28,天合光能,688599,13.71,1.48,483046658.0,1.51,新能源,跟随市场节奏，需观察量能确认趋势
29,比亚迪,002594,96.2,1.42,4604080480.0,1.38,新能源,跟随市场节奏，需观察量能确认趋势
30,中孚信息,300659,9.7,1.04,89744508.0,4.83,光模块,跟随市场节奏，需观察量能确认趋势
