序号,名称,代码,最新价,涨跌幅%,成交额(元),换手率%,所属板块,上涨驱动逻辑
1,光库科技,300620,254.33,20.0,4294898615.0,7.21,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
2,仕佳光子,688313,113.7,17.5,4610696668.0,9.4,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
3,天孚通信,300394,212.0,17.45,15872876094.0,7.2,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
4,源杰科技,688498,1315.0,14.65,9101998991.0,5.78,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
5,新易盛,300502,448.0,13.68,29913881019.0,5.52,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
6,美迪西,688202,78.01,13.25,774678095.9999999,7.66,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
7,中际旭创,300308,1021.99,13.24,49789575488.0,4.56,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
8,长芯博创,300548,159.6,13.18,3723403748.0,8.27,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
9,太辰光,300570,133.8,12.92,4217710812.0,17.29,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
10,芯原股份,688521,207.09,12.49,4009293419.0,3.83,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
11,天准科技,688003,70.8,11.22,518961578.0,3.91,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
12,晶丰明源,688368,107.3,11.09,550934966.0,4.34,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
13,飞荣达,300602,34.37,10.91,829661943.0,6.21,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
14,颀中科技,688352,14.74,10.74,435648555.0,8.32,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
15,康龙化成,300759,39.92,10.67,4178418614.0,7.46,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
16,国民技术,300077,18.1,10.23,1034931330.0,10.57,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
17,光迅科技,002281,172.32,10.0,6587355813.0,4.99,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
18,沪电股份,002463,111.77,10.0,7322469100.0,3.49,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
19,深南电路,002916,332.54,10.0,3422051786.0,1.58,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
20,药明康德,603259,141.35,10.0,10502734978.0,3.02,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
21,精测电子,300567,182.52,9.29,2100176865.0,5.26,机器人,主力资金介入，量价配合，关注板块联动和持续性
22,聚辰股份,688123,112.5,9.22,983789640.0000001,5.63,半导体,主力资金介入，量价配合，关注板块联动和持续性
23,国科微,300672,133.8,9.15,1611117457.0,5.86,半导体,主力资金介入，量价配合，关注板块联动和持续性
24,扬杰科技,300373,86.8,8.53,1663355851.0,3.61,半导体,主力资金介入，量价配合，关注板块联动和持续性
25,通富微电,002156,55.6,8.3,7698963519.0,9.4,半导体,主力资金介入，量价配合，关注板块联动和持续性
26,安路科技,688107,29.77,8.29,310755098.0,2.67,半导体,主力资金介入，量价配合，关注板块联动和持续性
27,长川科技,300604,245.82,8.09,7228112164.0,6.13,半导体,主力资金介入，量价配合，关注板块联动和持续性
28,新洁能,605111,49.48,7.96,1049650683.0,5.24,半导体,主力资金介入，量价配合，关注板块联动和持续性
29,卓胜微,300782,72.34,7.94,1107064349.0,3.52,半导体,主力资金介入，量价配合，关注板块联动和持续性
30,圣邦股份,300661,101.56,7.58,1839520348.0,3.07,半导体,主力资金介入，量价配合，关注板块联动和持续性
31,赛腾股份,603283,39.24,7.18,812278883.0000001,6.0,机器人,主力资金介入，量价配合，关注板块联动和持续性
32,迈为股份,300751,155.87,6.83,1231221167.0,4.17,新能源,主力资金介入，量价配合，关注板块联动和持续性
33,江苏北人,688218,34.42,5.91,132867086.0,3.36,机器人,主力资金介入，量价配合，关注板块联动和持续性
34,科华数据,002335,30.99,5.26,801070056.0,3.99,新能源,AI应用：大模型商用落地+信创替代，关注有真实收入转化的标的
35,拓斯达,300607,31.8,5.12,1133568002.0,10.78,机器人,主力资金介入，量价配合，关注板块联动和持续性
36,埃斯顿,002747,32.3,5.04,2756962026.0,11.19,机器人,主力资金介入，量价配合，关注板块联动和持续性
37,奥普特,688686,107.26,4.57,156998423.0,1.21,机器人,跟随市场节奏，需观察量能确认趋势
38,绿的谐波,688017,326.0,4.5,4057794841.0,6.97,机器人,跟随市场节奏，需观察量能确认趋势
39,维宏股份,300508,42.22,4.38,288914927.0,8.65,机器人,跟随市场节奏，需观察量能确认趋势
40,凌云光,688400,45.18,4.22,599578201.0,2.93,机器人,跟随市场节奏，需观察量能确认趋势
41,盛弘股份,300693,36.06,3.65,386278623.0,4.02,新能源,跟随市场节奏，需观察量能确认趋势
42,固德威,688390,64.95,2.61,482156392.0,3.06,新能源,跟随市场节奏，需观察量能确认趋势
43,赣锋锂业,002460,51.7,2.58,1958810660.0,3.14,新能源,跟随市场节奏，需观察量能确认趋势
44,阳光电源,300274,106.34,2.51,4445025094.0,2.64,新能源,跟随市场节奏，需观察量能确认趋势
45,星源材质,300568,13.51,2.43,676538305.0,4.13,新能源,跟随市场节奏，需观察量能确认趋势
46,晶盛机电,300316,40.0,2.43,526820284.0,1.08,新能源,跟随市场节奏，需观察量能确认趋势
47,锦浪科技,300763,62.1,1.89,623417236.0,3.14,新能源,跟随市场节奏，需观察量能确认趋势
48,捷佳伟创,300724,59.22,1.35,533802015.0,3.15,新能源,跟随市场节奏，需观察量能确认趋势
