序号,名称,代码,最新价,涨跌幅%,成交额(元),换手率%,所属板块,上涨驱动逻辑
1,通威股份,600438,12.85,10.02,1549139406.0,2.77,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
2,仕佳光子,688313,96.77,7.47,3504742633.0,8.06,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
3,东方日升,300118,10.18,7.27,665170613.0,7.2,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
4,天孚通信,300394,180.5,5.55,10029332108.0,5.15,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
5,时代电气,688187,49.8,5.33,516161774.0,1.21,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
6,天合光能,688599,14.28,5.23,711210381.0,2.15,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
7,晶澳科技,002459,7.89,5.06,613850702.0,2.38,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
8,源杰科技,688498,1147.01,5.03,6561928208.0,4.72,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
9,维宏股份,300508,40.45,5.01,372794615.0,11.06,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
10,晶科能源,688223,4.55,4.84,662048740.0,1.44,全市场热门,跟随市场节奏，需观察量能确认趋势
11,上能电气,300827,25.91,4.56,508282773.0,4.53,全市场热门,跟随市场节奏，需观察量能确认趋势
12,中科星图,688568,34.93,4.21,471672632.0,1.69,全市场热门,跟随市场节奏，需观察量能确认趋势
13,广联达,002410,9.77,3.94,568138325.0,3.73,全市场热门,跟随市场节奏，需观察量能确认趋势
14,太辰光,300570,118.49,3.94,2319975136.0,10.36,全市场热门,跟随市场节奏，需观察量能确认趋势
15,航发动力,600893,35.98,3.63,1291500615.0,1.36,全市场热门,跟随市场节奏，需观察量能确认趋势
16,埃斯顿,002747,30.75,3.4,2543738739.0,10.5,全市场热门,跟随市场节奏，需观察量能确认趋势
17,拓普集团,601689,48.22,3.37,1536741323.0,1.84,全市场热门,跟随市场节奏，需观察量能确认趋势
18,光库科技,300620,211.94,3.23,2459918024.0,4.77,全市场热门,跟随市场节奏，需观察量能确认趋势
19,五矿新能,688779,7.86,3.15,204246169.0,1.36,全市场热门,新能源：光伏装机超预期+锂电排产回暖，关注新技术路线(固态/钠电)
20,国电南瑞,600406,25.07,2.96,2465218734.0,1.24,全市场热门,跟随市场节奏，需观察量能确认趋势
21,汉宇集团,300403,9.48,2.93,112207286.0,2.79,机器人,跟随市场节奏，需观察量能确认趋势
22,绿的谐波,688017,311.95,2.73,5022907122.0,8.7,机器人,跟随市场节奏，需观察量能确认趋势
23,TCL中环,002129,9.06,2.6,1029217219.0,2.84,新能源,跟随市场节奏，需观察量能确认趋势
24,科华数据,002335,29.44,2.58,569634752.0,2.94,新能源,AI应用：大模型商用落地+信创替代，关注有真实收入转化的标的
25,腾景科技,688195,110.6,2.36,883069136.0,4.47,光模块,跟随市场节奏，需观察量能确认趋势
26,步科股份,688160,111.56,1.97,272401811.0,2.66,机器人,跟随市场节奏，需观察量能确认趋势
27,拓斯达,300607,30.25,1.51,1118111350.0,10.82,机器人,跟随市场节奏，需观察量能确认趋势
28,机器人,300024,15.6,1.5,581161556.0,2.38,机器人,机器人产业：特斯拉Optimus迭代+国内政策支持，减速器/伺服系统先行受益
29,凌云光,688400,43.35,1.5,505489148.0,2.55,机器人,跟随市场节奏，需观察量能确认趋势
30,德科立,688205,117.3,1.46,850781740.0,4.58,光模块,跟随市场节奏，需观察量能确认趋势
31,开普云,688228,66.7,1.05,161496874.0,3.6,光模块,跟随市场节奏，需观察量能确认趋势
32,中孚信息,300659,10.15,1.0,63826859.00000001,3.34,光模块,跟随市场节奏，需观察量能确认趋势
