序号,名称,代码,最新价,涨跌幅%,成交额(元),换手率%,所属板块,上涨驱动逻辑
1,泰格医药,300347,53.3,8.2,1217091461.0,4.16,全市场热门,医药生物：创新药出海加速+CXO订单回暖，估值修复行情
2,航发动力,600893,41.25,5.82,2303738869.0,2.12,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
3,康希诺,688185,71.5,5.15,831537581.0000001,10.37,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
4,深南电路,002916,382.5,4.8,5110614700.0,2.0,全市场热门,跟随市场节奏，需观察量能确认趋势
5,凌云光,688400,47.2,4.56,928246232.0,4.12,全市场热门,跟随市场节奏，需观察量能确认趋势
6,瑞可达,688800,66.3,4.41,1162883442.0,6.1,全市场热门,跟随市场节奏，需观察量能确认趋势
7,康龙化成,300759,42.76,3.64,2459187442.0,4.11,全市场热门,跟随市场节奏，需观察量能确认趋势
8,万兴科技,300624,57.24,3.4,1025789504.0,10.38,全市场热门,跟随市场节奏，需观察量能确认趋势
9,中无人机,688297,44.89,3.22,615099589.0,2.06,全市场热门,跟随市场节奏，需观察量能确认趋势
10,三角防务,300775,22.27,3.15,366536308.99999994,3.12,全市场热门,跟随市场节奏，需观察量能确认趋势
11,芯原股份,688521,190.88,2.75,4440203784.0,4.36,全市场热门,跟随市场节奏，需观察量能确认趋势
12,拓斯达,300607,38.51,2.56,1878154946.0,14.12,全市场热门,跟随市场节奏，需观察量能确认趋势
13,美迪西,688202,93.7,2.4,871676671.0000001,7.06,全市场热门,跟随市场节奏，需观察量能确认趋势
14,中航高科,600862,18.57,2.26,260658448.0,1.01,全市场热门,跟随市场节奏，需观察量能确认趋势
15,中航沈飞,600760,48.11,2.12,701819081.0,0.52,全市场热门,跟随市场节奏，需观察量能确认趋势
16,上能电气,300827,24.99,2.04,244574608.0,2.26,全市场热门,跟随市场节奏，需观察量能确认趋势
17,药明康德,603259,156.35,2.02,5632047180.0,1.47,全市场热门,跟随市场节奏，需观察量能确认趋势
18,沪电股份,002463,124.9,1.83,8721162708.0,3.59,半导体,跟随市场节奏，需观察量能确认趋势
19,通威股份,600438,11.86,1.63,510664661.0,0.96,新能源,跟随市场节奏，需观察量能确认趋势
20,颀中科技,688352,17.42,1.52,460439772.0,7.14,半导体,跟随市场节奏，需观察量能确认趋势
21,天合光能,688599,11.45,1.15,274675311.0,1.02,新能源,跟随市场节奏，需观察量能确认趋势
